date	time_gmt	country	event	actual	consensus	previous	high_impact
2026-09-13	03:30	Euro Zone	ECB President Lagarde Speaks				
2026-09-13	06:00	Brazil	BRICS Summit				
2026-09-13	All Day	Russia	Russia - Non Trading Day				
2026-09-14	06:00	Brazil	BRICS Summit				
2026-09-14	18:30	New Zealand	Performance of Services Index	51.2		50.6	
2026-09-14	18:45	New Zealand	External Migration & Visitors	8.50%		8.10%	
2026-09-14	18:45	New Zealand	Permanent/Long-Term Migration	3,010		2,580	
2026-09-14	18:45	New Zealand	Visitor Arrivals	0.5%		0.0%	
2026-09-14	All Day	Russia	Russia - Non Trading Day				
2026-09-15	00:30	Japan	Capacity Utilization			4.1%	
2026-09-15	00:30	Japan	Industrial Production		0.1%	1.9%	
2026-09-15	02:30	Switzerland	PPI			-2.1%	Y
2026-09-15	02:30	Switzerland	PPI		0.1%	-0.1%	Y
2026-09-15	02:30	India	WPI Food			5.44%	
2026-09-15	02:30	India	WPI Fuel			20.05%	
2026-09-15	02:30	India	WPI Inflation		9.89%	9.78%	
2026-09-15	02:30	India	WPI Manufacturing Inflation			8.29%	
2026-09-15	04:30	Hong Kong	Industrial Production			3.10%	
2026-09-15	04:30	Hong Kong	PPI			17.70%	Y
2026-09-15	05:00	China	M2 Money Stock		7.6%	7.7%	
2026-09-15	05:00	China	New Loans		480.0B	-340.0B	
2026-09-15	05:00	China	Outstanding Loan Growth		5.1%	5.1%	
2026-09-15	05:00	China	Chinese Total Social Financing		2,040.0B	1,410.0B	
2026-09-15	05:15	Euro Zone	ECB's Schnabel Speaks				
2026-09-15	05:30	Germany	German 12-Month Bubill Auction			2.656%	
2026-09-15	05:30	Germany	German 6-Month Bubill Auction			2.502%	
2026-09-15	06:30	India	CPI		4.80%	4.45%	Y
2026-09-15	07:25	Brazil	BCB Focus Market Readout				
2026-09-15	08:30	Canada	Common CPI		2.7%	2.7%	Y
2026-09-15	08:30	Canada	Core CPI		0.2%	0.2%	Y
2026-09-15	08:30	Canada	Core CPI			2.3%	Y
2026-09-15	08:30	Canada	CPI		-0.1%	0.5%	Y
2026-09-15	08:30	Canada	CPI			3.0%	Y
2026-09-15	08:30	Canada	Manufacturing Sales		-0.2%	0.1%	
2026-09-15	08:30	Canada	Median CPI		2.0%	2.0%	Y
2026-09-15	08:30	Canada	Trimmed CPI		1.9%	1.9%	Y
2026-09-15	09:00	France	French 12-Month BTF Auction			2.940%	
2026-09-15	09:00	France	French 3-Month BTF Auction			2.540%	
2026-09-15	09:00	France	French 6-Month BTF Auction			2.720%	
2026-09-15	11:15	Euro Zone	ECB President Lagarde Speaks				
2026-09-15	11:30	United States	3-Month Bill Auction			3.800%	
2026-09-15	11:30	United States	6-Month Bill Auction			3.890%	
2026-09-15	17:00	South Korea	Export Price Index			49.1%	
2026-09-15	17:00	South Korea	Import Price Index			18.7%	
2026-09-15	18:45	New Zealand	Electronic Card Retail Sales			1.3%	Y
2026-09-15	18:45	New Zealand	Electronic Card Retail Sales			3.4%	Y
2026-09-15	20:00	South Korea	Exports		68.7%	68.7%	
2026-09-15	20:00	South Korea	Imports		22.5%	22.5%	
2026-09-15	20:00	South Korea	Trade Balance		34.75B	34.75B	
2026-09-15	21:30	China	House Prices			-3.2%	
2026-09-15	22:00	China	Fixed Asset Investment		-7.0%	-6.7%	
2026-09-15	22:00	China	Industrial Production		4.8%	4.5%	
2026-09-15	22:00	China	Chinese Industrial Production YTD			5.3%	
2026-09-15	22:00	China	Retail Sales		0.8%	0.6%	Y
