date	time_gmt	country	event	actual	consensus	previous	high_impact
2026-08-17	18:30	New Zealand	Performance of Services Index	50.6		50.9	
2026-08-17	18:45	New Zealand	Electronic Card Retail Sales	1.3%		-1.3%	Y
2026-08-17	18:45	New Zealand	Electronic Card Retail Sales	3.4%		1.3%	Y
2026-08-17	18:45	New Zealand	FPI	0.1%		0.6%	
2026-08-17	19:01	United Kingdom	Rightmove House Price Index	-2.0%		-1.0%	
2026-08-17	19:01	United Kingdom	Rightmove House Price Index	-1.0%		-0.4%	
2026-08-17	19:50	Japan	GDP	0.3%	0.5%	0.5%	Y
2026-08-17	19:50	Japan	GDP	1.1%	2.0%	1.9%	Y
2026-08-17	19:50	Japan	GDP Annualized	1.1%	2.0%	1.9%	Y
2026-08-17	19:50	Japan	GDP Capital Expenditure	-1.2%	0.4%	-1.0%	Y
2026-08-17	19:50	Japan	GDP External Demand	0.5%	0.3%	0.3%	Y
2026-08-17	19:50	Japan	GDP Price Index	2.6%	2.4%	3.2%	Y
2026-08-17	19:50	Japan	GDP Private Consumption	0.0%	0.5%	0.5%	Y
2026-08-17	20:30	Singapore	Non-Oil Exports	-0.30%		-8.80%	
2026-08-17	20:30	Singapore	Non-Oil Exports	24.20%		24.40%	
2026-08-17	20:45	Singapore	Trade Balance	10.724B		13.870B	
2026-08-17	All Day	Russia	Russia - Non Trading Day				
2026-08-18	00:30	Japan	Capacity Utilization	4.1%		0.1%	
2026-08-18	00:30	Japan	Industrial Production	1.9%	1.3%	0.1%	
2026-08-18	00:30	Japan	Tertiary Industry Activity Index	5.30		-1.60	
2026-08-18	03:00	China	House Prices	-3.2%		-3.3%	
2026-08-18	03:00	China	Fixed Asset Investment	-6.7%	-6.2%	-5.7%	
2026-08-18	03:00	China	Industrial Production	4.5%	5.0%	5.3%	
2026-08-18	03:00	China	Chinese Industrial Production YTD	5.3%		5.4%	
2026-08-18	03:00	China	Retail Sales	0.6%	1.5%	1.0%	Y
2026-08-18	03:00	China	Chinese Retail Sales YTD	1.23%		1.33%	Y
2026-08-18	03:00	China	Chinese Unemployment Rate	5.2%	5.1%	5.0%	Y
2026-08-18	03:00	China	NBS Press Conference				
2026-08-18	05:30	Euro Zone	ECB's Lane Speaks				
2026-08-18	05:50	Germany	German 12-Month Bubill Auction	2.656%		2.566%	
2026-08-18	05:50	Germany	German 6-Month Bubill Auction	2.502%		2.436%	
2026-08-18	07:00	Brazil	IGP-10 Inflation Index	-0.5%	0.1%	-1.1%	
2026-08-18	07:25	Brazil	BCB Focus Market Readout				
2026-08-18	08:00	Brazil	IBC-Br Economic Activity	-0.60%	-0.50%	0.10%	
2026-08-18	08:30	United States	NY Empire State Manufacturing Index	20.60	10.60	15.60	
2026-08-18	08:30	Canada	Common CPI	2.7%	2.5%	2.6%	Y
2026-08-18	08:30	Canada	Core CPI	0.2%		0.1%	Y
2026-08-18	08:30	Canada	Core CPI	2.3%		2.1%	Y
2026-08-18	08:30	Canada	CPI	3.0%		2.8%	Y
2026-08-18	08:30	Canada	CPI	0.5%	0.4%	-0.4%	Y
2026-08-18	08:30	Canada	Foreign Securities Purchases	40.83B	15.00B	8.80B	
2026-08-18	08:30	Canada	Foreign Securities Purchases by Canadians	35.430B		21.890B	
2026-08-18	08:30	Canada	Median CPI	2.0%	2.0%	1.9%	Y
2026-08-18	08:30	Canada	Trimmed CPI	1.9%	1.8%	1.9%	Y
2026-08-18	09:00	France	French 12-Month BTF Auction	2.781%		2.752%	
2026-08-18	09:00	France	French 3-Month BTF Auction	2.484%		2.448%	
2026-08-18	09:00	France	French 6-Month BTF Auction	2.608%		2.579%	
2026-08-18	10:00	United States	NAHB Housing Market Index	35	33	34	
2026-08-18	11:30	United States	3-Month Bill Auction	3.715%		3.735%	
2026-08-18	11:30	United States	6-Month Bill Auction	3.780%		3.830%	
2026-08-18	16:00	United States	US Foreign Buying, T-bonds	6.80B		56.60B	
2026-08-18	16:00	United States	Overall Net Capital Flow	133.50B		131.50B	
