date	time_gmt	country	event	actual	consensus	previous	high_impact
2026-07-02	01:00	India	HSBC India Manufacturing PMI	54.2	54.5	55.0	Y
2026-07-02	01:00	Japan	Household Confidence	33.8	34.1	33.6	
2026-07-02	02:00	United Kingdom	Nationwide HPI	0.0%	0.1%	-0.6%	
2026-07-02	02:00	United Kingdom	Nationwide HPI	2.2%	2.4%	1.7%	
2026-07-02	02:00	Russia	S&P Global Manufacturing PMI	50.3		48.8	Y
2026-07-02	02:30	Switzerland	Retail Sales	3.5%	1.8%	1.7%	Y
2026-07-02	02:30	Australia	Commodity Prices	16.9%		16.8%	
2026-07-02	03:15	Spain	HCOB Spain Manufacturing PMI	49.7	51.0	51.2	Y
2026-07-02	03:30	Switzerland	procure.ch Manufacturing PMI	54.3	56.4	57.3	Y
2026-07-02	03:45	Italy	HCOB Italy Manufacturing PMI	52.2	52.4	52.9	Y
2026-07-02	03:50	France	HCOB France Manufacturing PMI	51.2	50.7	49.7	Y
2026-07-02	03:55	Germany	HCOB Germany Manufacturing PMI	50.3	50.0	50.1	Y
2026-07-02	04:00	Italy	Italian Public Deficit	7.8%		-1.4%	
2026-07-02	04:00	Euro Zone	HCOB Eurozone Manufacturing PMI	51.4	51.3	51.6	Y
2026-07-02	04:30	United Kingdom	S&P Global Manufacturing PMI	52.5	53.1	53.9	Y
2026-07-02	05:00	Euro Zone	Core CPI	2.4%	2.5%	2.6%	Y
2026-07-02	05:00	Euro Zone	Core CPI	0.2%		0.3%	Y
2026-07-02	05:00	Euro Zone	CPI	2.8%	3.0%	3.2%	Y
2026-07-02	05:00	Euro Zone	CPI	-0.1%		0.1%	Y
2026-07-02	05:00	Euro Zone	CPI, n.s.a	103.07		103.13	Y
2026-07-02	05:00	Euro Zone	HICP ex Energy & Food	2.2%		2.3%	
2026-07-02	05:00	Euro Zone	HICP ex Energy and Food	0.2%		0.3%	
2026-07-02	05:00	South Africa	Manufacturing PMI	47.3		50.8	Y
2026-07-02	05:30	United States	Challenger Job Cuts	-4.5%		3.4%	
2026-07-02	05:30	United States	Challenger Job Cuts	45.849K		97.006K	
2026-07-02	06:15	Euro Zone	ECB's Lane Speaks				
2026-07-02	07:00	United States	MBA 30-Year Mortgage Rate	6.57%		6.59%	
2026-07-02	07:00	United States	MBA Mortgage Applications	0.0%		1.0%	
2026-07-02	07:00	United States	MBA Purchase Index	170.6		169.7	
2026-07-02	07:00	United States	Mortgage Market Index	272.2		272.1	
2026-07-02	07:00	United States	Mortgage Refinance Index	828.7		834.2	
2026-07-02	07:00	Spain	Car Registration	14.80%		4.70%	
2026-07-02	07:00	Spain	Car Registration	7.80%		-0.80%	
2026-07-02	07:30	Brazil	Bank lending	0.6%		0.3%	
2026-07-02	07:45	United States	FOMC Member Daly Speaks				Y
2026-07-02	08:00	South Africa	Total Vehicle Sales	15.30%		12.80%	
2026-07-02	08:00	South Africa	Total Vehicle Sales	54.48K		50.99K	
2026-07-02	08:15	United States	ADP Nonfarm Employment Change	98K	118K	122K	Y
2026-07-02	09:00	United Kingdom	BoE Gov Bailey Speaks				
2026-07-02	09:00	United States	Fed Governor Warsh Speaks				
2026-07-02	09:00	Canada	BoC Gov Macklem Speaks				
2026-07-02	09:00	Brazil	S&P Global Manufacturing PMI	50.8		49.1	Y
2026-07-02	09:00	Euro Zone	ECB President Lagarde Speaks				
2026-07-02	09:45	United States	S&P Global Manufacturing PMI	53.9	55.7	55.1	Y
2026-07-02	10:00	United States	Construction Spending	0.1%	0.1%	0.3%	
2026-07-02	10:00	United States	ISM Manufacturing Employment	49.7		48.6	Y
2026-07-02	10:00	United States	ISM Manufacturing New Orders Index	56.0		56.8	Y
2026-07-02	10:00	United States	ISM Manufacturing PMI	53.3	53.8	54.0	Y
2026-07-02	10:00	United States	ISM Manufacturing Prices	73.0	77.7	82.1	Y
2026-07-02	10:30	United States	Crude Oil Inventories	-3.775M	-2.900M	-6.088M	
2026-07-02	10:30	United States	EIA Refinery Crude Runs	0.085M		-0.081M	
2026-07-02	10:30	United States	Crude Oil Imports	0.370M		0.094M	
2026-07-02	10:30	United States	Cushing Crude Oil Inventories	0.709M		-1.077M	
2026-07-02	10:30	United States	Distillate Fuel Production	-0.042M		0.055M	
2026-07-02	10:30	United States	EIA Weekly Distillates Stocks	2.483M	-0.700M	3.064M	
2026-07-02	10:30	United States	Gasoline Production	0.481M		-0.588M	
2026-07-02	10:30	United States	Heating Oil Stockpiles	-0.310M		0.722M	
2026-07-02	10:30	United States	EIA Weekly Refinery Utilization Rates	0.5%		-0.6%	
2026-07-02	10:30	United States	Gasoline Inventories	-2.333M	-0.950M	2.064M	
2026-07-02	10:30	Euro Zone	ECB President Lagarde Speaks				
2026-07-02	12:00	Italy	Italian Car Registration	10.6%		7.6%	
2026-07-02	12:00	Russia	Business Confidence	-2.1		-1.0	
2026-07-02	12:00	Russia	GDP Monthly	0.3%		1.3%	Y
2026-07-02	12:00	Russia	Russian Real Wage Growth	5.1%		8.1%	
2026-07-02	12:00	Russia	Retail Sales	7.8%		6.5%	Y
2026-07-02	12:00	Russia	Unemployment Rate	2.1%		2.2%	Y
2026-07-02	12:30	United States	Atlanta Fed GDPNow	1.2%	2.5%	2.5%	
2026-07-02	13:30	Brazil	Foreign Exchange Flows	-1.027B		4.066B	
2026-07-02	15:15	United States	U.S. President Trump Speaks				
2026-07-02	18:45	New Zealand	Building Consents	-4.0%		11.1%	
2026-07-02	19:00	South Korea	CPI	3.2%	3.2%	3.1%	Y
