date	time_gmt	country	event	actual	consensus	previous	high_impact
2026-07-31	01:00	Japan	Household Confidence	34.9	34.2	33.8	
2026-07-31	01:30	France	French Consumer Spending	0.4%	-0.1%	0.3%	
2026-07-31	01:30	France	French GDP	0.2%	0.2%	-0.1%	Y
2026-07-31	01:30	France	French GDP	0.7%	0.8%	0.8%	Y
2026-07-31	02:45	France	French Non-Farm Payrolls	-0.1%	-0.1%	0.0%	Y
2026-07-31	03:00	Switzerland	KOF Leading Indicators	103.5	100.9	102.1	
2026-07-31	03:00	Spain	Core CPI	3.0%		2.9%	Y
2026-07-31	03:00	Spain	Spanish CPI	0.2%	0.2%	0.6%	Y
2026-07-31	03:00	Spain	Spanish CPI	3.5%	3.2%	3.2%	Y
2026-07-31	03:00	Spain	Spanish GDP	0.7%	0.6%	0.6%	Y
2026-07-31	03:00	Spain	Spanish GDP	2.7%	2.5%	2.7%	Y
2026-07-31	03:00	Spain	Spanish HICP	-0.1%	-0.2%	0.6%	
2026-07-31	03:00	Spain	Spanish HICP	3.8%	3.7%	3.6%	
2026-07-31	04:00	Italy	Italian GDP	0.2%	0.1%	0.3%	Y
2026-07-31	04:00	Italy	Italian GDP	1.0%	0.7%	0.8%	Y
2026-07-31	04:00	Germany	Baden Wuerttemberg CPI	0.8%		-0.2%	Y
2026-07-31	04:00	Germany	Baden Wuerttemberg CPI	2.5%		2.1%	Y
2026-07-31	04:00	Germany	Bavaria CPI	2.8%		2.5%	Y
2026-07-31	04:00	Germany	Bavaria CPI	0.6%		-0.2%	Y
2026-07-31	04:00	Germany	Brandenburg CPI	2.7%		2.4%	Y
2026-07-31	04:00	Germany	Brandenburg CPI	0.7%		-0.2%	Y
2026-07-31	04:00	Germany	German GDP	0.2%	0.1%	0.3%	Y
2026-07-31	04:00	Germany	German GDP	0.9%	0.6%	0.4%	Y
2026-07-31	04:00	Germany	Hesse CPI	0.7%		-0.2%	Y
2026-07-31	04:00	Germany	Hesse CPI	2.7%		2.3%	Y
2026-07-31	04:00	Germany	North Rhine Westphalia CPI	0.9%		-0.4%	Y
2026-07-31	04:00	Germany	North Rhine Westphalia CPI	2.7%		2.1%	Y
2026-07-31	04:00	Germany	Saxony CPI	2.8%		2.3%	Y
2026-07-31	04:00	Germany	Saxony CPI	0.7%		-0.3%	Y
2026-07-31	05:00	Italy	Italian Monthly Unemployment Rate	5.7%	5.0%	5.3%	Y
2026-07-31	05:00	Euro Zone	Business and Consumer Survey	96.9	96.0	95.4	
2026-07-31	05:00	Euro Zone	Business Climate	-0.19		-0.36	
2026-07-31	05:00	Euro Zone	Consumer Confidence	-15.9	-15.9	-15.9	Y
2026-07-31	05:00	Euro Zone	Consumer Inflation Expectation	30.3		34.0	
2026-07-31	05:00	Euro Zone	Selling Price Expectations	17.7		22.3	
2026-07-31	05:00	Euro Zone	Services Sentiment	4.7	3.8	4.2	
2026-07-31	05:00	Euro Zone	GDP	0.4%	0.2%	-0.2%	Y
2026-07-31	05:00	Euro Zone	GDP	1.0%	0.5%	0.3%	Y
