date	time_gmt	country	event	actual	consensus	previous	high_impact
2026-09-03	02:45	France	French Government Budget Balance	-145.9B		-106.8B	
2026-09-03	03:00	Spain	Spanish Unemployment Change	44.4K	15.4K	19.5K	
2026-09-03	04:00	Italy	Italian PPI	2.4%		0.0%	Y
2026-09-03	04:00	Italy	Italian PPI	7.8%		5.8%	Y
2026-09-03	05:00	Brazil	IPC-Fipe Inflation Index	0.01%		-0.03%	
2026-09-03	07:00	United States	MBA 30-Year Mortgage Rate	6.79%		6.78%	
2026-09-03	07:00	United States	MBA Mortgage Applications	0.8%		-1.0%	
2026-09-03	07:00	United States	MBA Purchase Index	157.8		154.4	
2026-09-03	07:00	United States	Mortgage Market Index	247.3		245.3	
2026-09-03	07:00	United States	Mortgage Refinance Index	732.6		740.8	
2026-09-03	08:00	Brazil	Industrial Production	-0.5%		1.7%	
2026-09-03	08:00	Brazil	Industrial Production	0.2%		-1.6%	
2026-09-03	08:15	United States	ADP Nonfarm Employment Change	38K	47K	46K	Y
2026-09-03	09:00	Singapore	S&P Global Manufacturing PMI	51.5		51.4	Y
2026-09-03	09:30	Germany	German Buba Vice President Buch Speaks				
2026-09-03	09:45	Canada	BoC Rate Statement				
2026-09-03	09:45	Canada	BoC Interest Rate Decision	2.25%	2.25%	2.25%	Y
2026-09-03	10:00	United States	All Car Sales	2.74M		2.70M	
2026-09-03	10:00	United States	All Truck Sales	14.03M		13.62M	
2026-09-03	10:00	United States	Durables Excluding Defense	1.3%		1.3%	
2026-09-03	10:00	United States	Durables Excluding Transport	0.4%		0.4%	
2026-09-03	10:00	United States	Factory Orders	0.9%	0.7%	-0.2%	
2026-09-03	10:00	United States	Factory orders ex transportation	0.6%		-0.1%	
2026-09-03	10:30	United States	Crude Oil Inventories	-4.450M	-0.400M	0.095M	
2026-09-03	10:30	United States	EIA Refinery Crude Runs	0.103M		-0.002M	
2026-09-03	10:30	United States	Crude Oil Imports	-0.079M		-0.161M	
2026-09-03	10:30	United States	Cushing Crude Oil Inventories	0.080M		1.176M	
2026-09-03	10:30	United States	Distillate Fuel Production	-0.009M		-0.091M	
2026-09-03	10:30	United States	EIA Weekly Distillates Stocks	0.796M	-1.300M	-2.228M	
2026-09-03	10:30	United States	Gasoline Production	0.073M		0.061M	
2026-09-03	10:30	United States	Heating Oil Stockpiles	-0.033M		0.027M	
2026-09-03	10:30	United States	EIA Weekly Refinery Utilization Rates	0.6%		0.2%	
2026-09-03	10:30	United States	Gasoline Inventories	-1.173M	-1.900M	-2.536M	
2026-09-03	10:30	Canada	BOC Press Conference				
2026-09-03	11:00	France	French Car Registration	7.4%		9.0%	
2026-09-03	12:00	Russia	Business Confidence	-1.0		-1.1	
2026-09-03	12:00	Russia	Russian Real Wage Growth	3.4%		4.5%	
2026-09-03	12:00	Russia	Retail Sales	5.3%		7.3%	Y
2026-09-03	12:00	Russia	Unemployment Rate	2.3%		2.2%	Y
2026-09-03	12:01	Russia	GDP Monthly	0.6%		1.7%	Y
2026-09-03	13:30	Brazil	Foreign Exchange Flows	-0.542B		-4.055B	
2026-09-03	14:00	United States	Beige Book				
2026-09-03	17:00	South Korea	FX Reserves - USD	442.28B		427.95B	
2026-09-03	18:45	New Zealand	Terms of Trade - Exports Prices	3.5%		-2.6%	
2026-09-03	18:45	New Zealand	Terms of Trade - Exports Volume	6.4%		2.7%	
2026-09-03	18:45	New Zealand	Terms of Trade - Imports Prices	13.8%		-0.7%	
2026-09-03	18:45	New Zealand	Terms of Trade Index	-9.0%	-2.1%	-1.9%	
2026-09-03	19:00	Australia	S&P Global Manufacturing & Services PMI	52.70	52.50	53.20	Y
2026-09-03	19:00	Australia	S&P Global Services PMI	53.2	52.9	53.6	Y
2026-09-03	19:50	Japan	Foreign Bonds Buying	-824.0B		-1,976.8B	
2026-09-03	19:50	Japan	Foreign Investments in Japanese Stocks	35.8B		-763.4B	
2026-09-03	20:30	Japan	Manufacturing & Services PMI	53.50	53.40	52.70	Y
2026-09-03	20:30	Japan	S&P Global Services PMI	52.5	52.3	51.2	Y
2026-09-03	20:30	Hong Kong	S&P Global Manufacturing PMI	49.5		51.0	Y
2026-09-03	21:00	New Zealand	ANZ Commodity Price Index	-0.4%		-4.0%	
2026-09-03	21:15	Australia	RBA Assistant Governor Jones Speaks				
2026-09-03	21:30	Australia	Exports	-3.3%		9.1%	
2026-09-03	21:30	Australia	Imports	-2.5%		-0.7%	
2026-09-03	21:30	Australia	Trade Balance	1.923B	1.400B	2.341B	
2026-09-03	21:45	China	RatingDog Services PMI	51.4	50.6	50.4	Y
2026-09-03	23:35	Japan	30-Year JGB Auction	4.100%		3.937%	
2026-09-04	01:00	India	HSBC India Services PMI	54.1	54.5	53.3	Y
2026-09-04	01:00	India	HSBC Manufacturing & Services PMI	54.30	54.60	54.30	Y
2026-09-04	02:00	Russia	S&P Global Services PMI	51.3		49.0	Y
2026-09-04	02:30	Switzerland	CPI	0.4%	0.0%	-0.1%	Y
2026-09-04	02:30	Switzerland	CPI	0.8%	0.5%	0.4%	Y
2026-09-04	03:00	Switzerland	GDP	1.9%	1.5%	0.6%	Y
2026-09-04	03:00	Switzerland	GDP	2.8%		0.5%	Y
2026-09-04	03:15	Spain	HCOB Spain Services PMI	57.8	59.0	58.3	Y
2026-09-04	03:15	South Africa	S&P Global Manufacturing PMI	50.5		50.3	Y
2026-09-04	03:45	Italy	HCOB Italy Composite PMI	53.6		52.5	Y
2026-09-04	03:45	Italy	HCOB Italy Services PMI	55.2	53.6	52.5	Y
2026-09-04	03:50	France	HCOB France Composite PMI	48.5	48.8	49.4	Y
2026-09-04	03:50	France	HCOB France Services PMI	48.0	48.4	49.6	Y
2026-09-04	03:55	Germany	HCOB Germany Composite PMI	51.8	51.0	51.3	Y
2026-09-04	03:55	Germany	HCOB Germany Services PMI	49.7	48.5	49.8	Y
2026-09-04	04:00	Euro Zone	HCOB Eurozone Composite PMI	52.0	52.1	52.0	Y
2026-09-04	04:00	Euro Zone	HCOB Eurozone Services PMI	51.6	51.7	51.7	Y
2026-09-04	04:30	United Kingdom	S&P Global Composite PMI	52.5	52.5	52.2	Y
