date	time_gmt	country	event	actual	consensus	previous	high_impact
2026-08-14	22:00	India	Thomson Reuters IPSOS PCSI	65.26		67.08	
2026-08-14	22:00	Australia	Thomson Reuters IPSOS PCSI	48.79		48.18	
2026-08-14	22:00	Japan	Thomson Reuters IPSOS PCSI	39.94		39.75	
2026-08-14	22:00	China	China Thomson Reuters IPSOS PCSI	74.79		72.84	
2026-08-14	23:00	South Korea	M3 Money Supply	6,362.4B		6,314.4B	
2026-08-14	23:00	South Korea	M2 Money supply	9.40%		9.20%	
2026-08-15	02:00	Germany	German WPI	5.3%		4.9%	
2026-08-15	02:00	Germany	German WPI	0.2%	-0.2%	-0.7%	
2026-08-15	02:30	India	WPI Food	5.44%		5.49%	
2026-08-15	02:30	India	WPI Fuel	20.05%		27.41%	
2026-08-15	02:30	India	WPI Inflation	9.78%	9.95%	9.87%	
2026-08-15	02:30	India	WPI Manufacturing Inflation	8.29%		7.48%	
2026-08-15	02:45	France	French CPI NSA	0.60%		0.60%	Y
2026-08-15	02:45	France	French CPI NSA	2.10%		2.10%	Y
2026-08-15	02:45	France	French CPI	0.6%	0.6%	-0.3%	Y
2026-08-15	02:45	France	French CPI	2.1%	2.1%	1.8%	Y
2026-08-15	02:45	France	French HICP	0.6%	0.6%	-0.3%	
2026-08-15	02:45	France	French HICP	2.4%	2.4%	2.0%	
2026-08-15	02:45	France	France Inflation Ex-Tobacco	2.10%		1.70%	
2026-08-15	03:00	Switzerland	GDP	1.5%		0.7%	Y
2026-08-15	04:00	China	M2 Money Stock	7.7%	7.9%	8.0%	
2026-08-15	04:00	China	New Loans	-340.0B	-50.0B	1,610.0B	
2026-08-15	04:00	China	Outstanding Loan Growth	5.1%	5.3%	5.3%	
2026-08-15	04:00	China	Chinese Total Social Financing	1,410.0B	1,200.0B	3,360.0B	
2026-08-15	04:30	Hong Kong	GDP	4.3%	4.3%	4.3%	Y
2026-08-15	04:30	Hong Kong	GDP	-0.6%	-0.6%	-0.6%	Y
2026-08-15	05:00	Euro Zone	Employment Change	0.1%	0.1%	0.1%	
2026-08-15	05:00	Euro Zone	Employment Change	0.5%	0.6%	0.5%	
2026-08-15	05:00	Euro Zone	Employment Overall	176,577.2K		176,382.2K	
2026-08-15	05:00	Euro Zone	GDP	0.4%	0.4%	0.0%	Y
2026-08-15	05:00	Euro Zone	GDP	1.0%	1.0%	0.5%	Y
2026-08-15	05:00	Euro Zone	Trade Balance	8.6B	-2.2B	-9.0B	
2026-08-15	06:00	Euro Zone	Reserve Assets Total	1,752.50B		1,755.42B	
2026-08-15	07:30	India	Balance of Payments (USD)	-8.100B		7.200B	
2026-08-15	07:30	India	Bank Loan Growth	19.3%		17.7%	
2026-08-15	07:30	India	Current Account (USD)	-3.10B		7.10B	
2026-08-15	07:30	India	Deposit Growth	15.4%		12.7%	
2026-08-15	07:30	India	FX Reserves, USD	707.00B		692.87B	
2026-08-15	08:30	United States	Core Retail Sales	-0.3%	0.2%	-0.2%	Y
2026-08-15	08:30	United States	Retail Control	-0.4%	0.3%	0.4%	
2026-08-15	08:30	United States	Retail Sales	5.01%		6.75%	Y
2026-08-15	08:30	United States	Retail Sales	-0.6%	0.1%	0.2%	Y
2026-08-15	08:30	United States	Retail Sales Ex Gas/Autos	-0.2%		0.4%	Y
2026-08-15	08:30	Canada	Capacity Utilization Rate	82.3%		82.5%	
2026-08-15	08:30	Canada	Manufacturing Sales	0.1%	-0.1%	1.6%	
2026-08-15	08:30	Canada	Wholesale Sales	2.8%	2.7%	-0.3%	
2026-08-15	10:00	United States	Business Inventories	0.0%	0.2%	0.4%	
2026-08-15	10:00	United States	Michigan 1-Year Inflation Expectations	4.3%		4.2%	
2026-08-15	10:00	United States	Michigan 5-Year Inflation Expectations	3.3%		3.3%	
2026-08-15	10:00	United States	Michigan Consumer Expectations	50.6	55.2	55.4	
2026-08-15	10:00	United States	Michigan Consumer Sentiment	51.0	54.7	55.2	Y
2026-08-15	10:00	United States	Michigan Current Conditions	51.8	55.0	54.8	
2026-08-15	10:00	United States	Retail Inventories Ex Auto	-0.4%		0.7%	
2026-08-15	11:30	United States	Atlanta Fed GDPNow	4.3%	5.8%	5.8%	
2026-08-15	13:00	United States	U.S. Baker Hughes Oil Rig Count	455		454	
2026-08-15	13:00	United States	U.S. Baker Hughes Total Rig Count	593		588	
2026-08-15	15:00	United States	U.S. President Trump Speaks				
2026-08-15	15:30	United Kingdom	CFTC GBP speculative net positions	-56.2K		-57.8K	
2026-08-15	15:30	United States	CFTC Aluminium speculative net positions			-0.9K	
2026-08-15	15:30	United States	CFTC Copper speculative net positions			77.1K	
2026-08-15	15:30	United States	CFTC Corn speculative net positions			255.1K	
2026-08-15	15:30	United States	CFTC Crude Oil speculative net positions			112.4K	
2026-08-15	15:30	United States	CFTC Gold speculative net positions			197.6K	
2026-08-15	15:30	United States	CFTC Nasdaq 100 speculative net positions	-39.3K		-14.6K	
2026-08-15	15:30	United States	CFTC Natural Gas speculative net positions			-197.5K	
2026-08-15	15:30	United States	CFTC S&P 500 speculative net positions	11.3K		-27.3K	
2026-08-15	15:30	United States	CFTC Silver speculative net positions			22.3K	
2026-08-15	15:30	United States	CFTC Soybeans speculative net positions			175.5K	
2026-08-15	15:30	United States	CFTC Wheat speculative net positions			-14.8K	
2026-08-15	15:30	Canada	CFTC CAD speculative net positions			-179.1K	
2026-08-15	15:30	Switzerland	CFTC CHF speculative net positions	-32.5K		-32.8K	
2026-08-15	15:30	Australia	CFTC AUD speculative net positions	-39.2K		-33.2K	
2026-08-15	15:30	Brazil	CFTC BRL speculative net positions	66.3K		64.0K	
2026-08-15	15:30	Japan	CFTC JPY speculative net positions	42.1K		-45.5K	
2026-08-15	15:30	New Zealand	CFTC NZD speculative net positions			-41.2K	
2026-08-15	15:30	Euro Zone	CFTC EUR speculative net positions			-58.1K	
2026-08-15	20:00	South Korea	Exports		62.8%	62.8%	
2026-08-15	20:00	South Korea	Imports		26.5%	26.5%	
2026-08-15	20:00	South Korea	Trade Balance		30.32B	30.32B	
2026-08-16	12:00	France	French Car Registration			11.4%	
2026-08-16	All Day	Russia	Russia - Non Trading Day				
2026-08-17	18:45	New Zealand	Electronic Card Retail Sales			-1.4%	Y
2026-08-17	18:45	New Zealand	Electronic Card Retail Sales			1.3%	Y
2026-08-17	18:45	New Zealand	FPI			0.6%	
2026-08-17	19:01	United Kingdom	Rightmove House Price Index			-0.4%	
2026-08-17	19:30	New Zealand	Performance of Services Index			50.6	
2026-08-17	19:50	Japan	GDP		0.5%	0.5%	Y
2026-08-17	19:50	Japan	GDP		2.0%	1.8%	Y
2026-08-17	19:50	Japan	GDP Annualized		2.1%	1.8%	Y
2026-08-17	19:50	Japan	GDP Capital Expenditure		0.4%	-0.7%	Y
2026-08-17	19:50	Japan	GDP External Demand		0.3%	0.3%	Y
2026-08-17	19:50	Japan	GDP Price Index			3.2%	Y
2026-08-17	19:50	Japan	GDP Private Consumption		0.5%	0.3%	Y
2026-08-17	20:30	Singapore	Non-Oil Exports			-8.90%	
2026-08-17	20:30	Singapore	Non-Oil Exports			20.70%	
2026-08-17	20:30	Singapore	Trade Balance			13.817B	
2026-08-17	21:30	China	House Prices			-3.3%	
2026-08-17	22:00	China	Fixed Asset Investment		-6.0%	-5.7%	
2026-08-17	22:00	China	Industrial Production		4.8%	5.3%	
2026-08-17	22:00	China	Chinese Industrial Production YTD			5.4%	
2026-08-17	22:00	China	Retail Sales		1.6%	1.0%	Y
2026-08-17	22:00	China	Chinese Retail Sales YTD			1.33%	Y
2026-08-17	22:00	China	Chinese Unemployment Rate			5.0%	Y
2026-08-17	22:00	China	NBS Press Conference				
2026-08-17	All Day	Russia	Russia - Non Trading Day				
2026-08-18	00:30	Japan	Capacity Utilization			0.1%	
2026-08-18	00:30	Japan	Industrial Production		1.3%	1.3%	
2026-08-18	00:30	Japan	Tertiary Industry Activity Index			-1.40	
2026-08-18	05:00	China	FDI			-5.00%	
2026-08-18	05:30	Germany	German 12-Month Bubill Auction			2.566%	
2026-08-18	05:30	Germany	German 6-Month Bubill Auction			2.436%	
2026-08-18	05:30	Euro Zone	ECB's Lane Speaks				
2026-08-18	07:00	Brazil	IGP-10 Inflation Index			-1.1%	
2026-08-18	07:00	South Africa	Business Confidence			124.1	
2026-08-18	07:25	Brazil	BCB Focus Market Readout				
2026-08-18	08:00	Brazil	IBC-Br Economic Activity			0.10%	
2026-08-18	08:30	United States	NY Empire State Manufacturing Index			15.60	
2026-08-18	08:30	Canada	Common CPI			2.6%	Y
2026-08-18	08:30	Canada	Core CPI			0.1%	Y
2026-08-18	08:30	Canada	Core CPI			2.1%	Y
2026-08-18	08:30	Canada	CPI			-0.4%	Y
2026-08-18	08:30	Canada	CPI			2.8%	Y
2026-08-18	08:30	Canada	Foreign Securities Purchases			7.90B	
2026-08-18	08:30	Canada	Foreign Securities Purchases by Canadians			22.270B	
2026-08-18	08:30	Canada	Median CPI			1.9%	Y
2026-08-18	08:30	Canada	Trimmed CPI			1.8%	Y
2026-08-18	09:00	France	French 12-Month BTF Auction			2.752%	
2026-08-18	09:00	France	French 3-Month BTF Auction			2.448%	
2026-08-18	09:00	France	French 6-Month BTF Auction			2.579%	
2026-08-18	10:00	United States	NAHB Housing Market Index			34	
2026-08-18	11:30	United States	3-Month Bill Auction			3.735%	
2026-08-18	11:30	United States	6-Month Bill Auction			3.830%	
2026-08-18	16:00	United States	US Foreign Buying, T-bonds			56.60B	
2026-08-18	16:00	United States	Overall Net Capital Flow			132.20B	
2026-08-18	16:00	United States	TIC Net Long-Term Transactions			232.7B	
2026-08-18	16:00	United States	TIC Net Long-Term Transactions including Swaps			232.70B	
2026-08-18	20:30	Australia	Westpac Consumer Sentiment			4.1%	Y
2026-08-18	23:00	New Zealand	RBNZ Offshore Holdings			55.80%	
2026-08-18	23:35	Japan	5-Year JGB Auction			2.020%	
2026-08-18	All Day	South Korea	South Korea - Liberation Day				
2026-08-18	All Day	South Korea	South Korea - Liberation Day				
2026-08-19	02:00	United Kingdom	Average Earnings ex Bonus			3.4%	
2026-08-19	02:00	United Kingdom	Average Earnings Index +Bonus			4.3%	
2026-08-19	02:00	United Kingdom	Claimant Count Change			6.7K	
2026-08-19	02:00	United Kingdom	Employment Change 3M/3M			147K	
2026-08-19	02:00	United Kingdom	Unemployment Rate			4.9%	Y
2026-08-19	04:00	Spain	Spanish Trade Balance			-8.24B	
2026-08-19	04:30	United Kingdom	Labour Productivity		-0.5%	-0.5%	
2026-08-19	05:00	Germany	German ZEW Current Conditions			-77.6	
2026-08-19	05:00	Germany	German ZEW Economic Sentiment			26.3	
2026-08-19	05:00	Euro Zone	ZEW Economic Sentiment			23.4	
2026-08-19	07:45	Euro Zone	ECB's Lane Speaks				
2026-08-19	08:00	New Zealand	GlobalDairyTrade Price Index			0.1%	
2026-08-19	08:00	New Zealand	Milk Auctions			3,778.0	
2026-08-19	08:15	Canada	Housing Starts			239.0K	
2026-08-19	08:30	United States	Building Permits			1.374M	
2026-08-19	08:30	United States	Building Permits			-2.6%	
2026-08-19	08:30	United States	Export Price Index			-0.6%	
2026-08-19	08:30	United States	Export Price Index			10.2%	
2026-08-19	08:30	United States	Housing Starts			19.0%	
2026-08-19	08:30	United States	Housing Starts		1.340M	1.427M	
2026-08-19	08:30	United States	Import Price Index			7.1%	
2026-08-19	08:30	United States	Import Price Index			0.3%	
2026-08-19	08:55	United States	Redbook			8.3%	
2026-08-19	09:15	United States	Capacity Utilization Rate		76.3%	76.1%	
2026-08-19	09:15	United States	Industrial Production		0.3%	0.1%	
2026-08-19	09:15	United States	Industrial Production			1.14%	
2026-08-19	09:15	United States	Manufacturing Production			0.0%	
2026-08-19	10:00	United States	Pending Home Sales			-5.4%	
2026-08-19	10:00	United States	Pending Home Sales Index			72.5	
2026-08-19	10:45	United States	Atlanta Fed GDPNow				
2026-08-19	16:30	United States	API Weekly Crude Oil Stock			9.072M	
2026-08-19	18:45	New Zealand	PPI Input			1.4%	Y
2026-08-19	18:45	New Zealand	PPI Output			0.8%	Y
2026-08-19	19:50	Japan	Core Machinery Orders			-12.4%	
2026-08-19	19:50	Japan	Core Machinery Orders			-1.9%	
2026-08-19	21:30	Australia	Wage Price Index			0.8%	
2026-08-19	21:30	Australia	Wage Price Index			3.3%	
2026-08-20	02:00	United Kingdom	Core CPI			2.6%	Y
2026-08-20	02:00	United Kingdom	Core CPI			0.3%	Y
2026-08-20	02:00	United Kingdom	Core PPI Output			2.6%	Y
2026-08-20	02:00	United Kingdom	Core PPI Output			0.5%	Y
2026-08-20	02:00	United Kingdom	Core RPI			2.9%	
2026-08-20	02:00	United Kingdom	Core RPI			0.3%	
2026-08-20	02:00	United Kingdom	CPI			2.6%	Y
2026-08-20	02:00	United Kingdom	CPI			0.1%	Y
2026-08-20	02:00	United Kingdom	CPI, n.s.a			142.50	Y
2026-08-20	02:00	United Kingdom	PPI Input			7.3%	Y
2026-08-20	02:00	United Kingdom	PPI Input			-2.0%	Y
2026-08-20	02:00	United Kingdom	PPI Output			3.5%	Y
2026-08-20	02:00	United Kingdom	PPI Output			0.0%	Y
2026-08-20	02:00	United Kingdom	RPI			0.3%	
2026-08-20	02:00	United Kingdom	RPI			3.0%	
2026-08-20	02:30	Switzerland	Industrial Production			-7.10%	
2026-08-20	03:10	Euro Zone	ECB President Lagarde Speaks				
2026-08-20	04:00	Euro Zone	Current Account			25.1B	
2026-08-20	04:00	Euro Zone	Current Account n.s.a.			-6.2B	
2026-08-20	04:00	South Africa	Core CPI			4.1%	Y
2026-08-20	04:00	South Africa	Core CPI			0.6%	Y
2026-08-20	04:00	South Africa	CPI			5.0%	Y
2026-08-20	04:00	South Africa	CPI			0.7%	Y
2026-08-20	04:30	United Kingdom	House Price Index			2.7%	
2026-08-20	05:00	Euro Zone	Core CPI		2.5%	2.5%	Y
2026-08-20	05:00	Euro Zone	Core CPI		0.0%	0.0%	Y
2026-08-20	05:00	Euro Zone	CPI		2.9%	2.9%	Y
2026-08-20	05:00	Euro Zone	CPI		2.8%	-0.1%	Y
2026-08-20	05:00	Euro Zone	CPI ex Tobacco			-0.1%	Y
2026-08-20	05:00	Euro Zone	CPI ex Tobacco			2.7%	Y
2026-08-20	05:00	Euro Zone	CPI, n.s.a		103.22	103.02	Y
2026-08-20	05:00	Euro Zone	HICP ex Energy & Food		2.2%	2.2%	
2026-08-20	05:00	Euro Zone	HICP ex Energy and Food		0.0%	0.2%	
2026-08-20	05:30	Germany	German 10-Year Bund Auction			3.130%	
2026-08-20	07:00	United States	MBA 30-Year Mortgage Rate			6.77%	
2026-08-20	07:00	United States	MBA Mortgage Applications			3.6%	
2026-08-20	07:00	United States	MBA Purchase Index			157.9	
2026-08-20	07:00	United States	Mortgage Market Index			248.6	
2026-08-20	07:00	United States	Mortgage Refinance Index			744.4	
2026-08-20	07:00	South Africa	Retail Sales			2.3%	Y
2026-08-20	07:30	India	RBI MPC Meeting Minutes				
2026-08-20	10:30	United States	Crude Oil Inventories			17.423M	
2026-08-20	10:30	United States	EIA Refinery Crude Runs			0.026M	
2026-08-20	10:30	United States	Crude Oil Imports			1.768M	
2026-08-20	10:30	United States	Cushing Crude Oil Inventories			1.611M	
2026-08-20	10:30	United States	Distillate Fuel Production			0.050M	
2026-08-20	10:30	United States	EIA Weekly Distillates Stocks			-0.010M	
2026-08-20	10:30	United States	Gasoline Production			-0.001M	
2026-08-20	10:30	United States	Heating Oil Stockpiles			0.192M	
2026-08-20	10:30	United States	EIA Weekly Refinery Utilization Rates			-0.3%	
2026-08-20	10:30	United States	Gasoline Inventories			-0.968M	
2026-08-20	12:00	Russia	PPI			-0.1%	Y
2026-08-20	12:00	Russia	PPI			10.5%	Y
2026-08-20	13:00	United States	20-Year Bond Auction			5.163%	
2026-08-20	13:30	Brazil	Foreign Exchange Flows			0.652B	
2026-08-20	14:00	United States	FOMC Meeting Minutes				Y
2026-08-20	19:50	Japan	Adjusted Trade Balance			-0.88T	
2026-08-20	19:50	Japan	Exports			19.3%	
2026-08-20	19:50	Japan	Foreign Bonds Buying			1,629.4B	
2026-08-20	19:50	Japan	Foreign Investments in Japanese Stocks			-368.5B	
2026-08-20	19:50	Japan	Imports			25.4%	
2026-08-20	19:50	Japan	Trade Balance			-409.9B	
2026-08-20	21:00	Australia	MI Inflation Expectations			4.7%	
2026-08-20	21:00	China	China Loan Prime Rate 5Y			3.50%	
2026-08-20	21:15	China	PBoC Loan Prime Rate			3.00%	
2026-08-20	21:30	Australia	Employment Change			76.3K	
2026-08-20	21:30	Australia	Full Employment Change			29.3K	
2026-08-20	21:30	Australia	Participation Rate			67.0%	
2026-08-20	21:30	Australia	Reserve Assets Total			118,842.0B	
2026-08-20	21:30	Australia	Unemployment Rate			4.4%	Y
