date	time_gmt	country	event	actual	consensus	previous	high_impact
2026-08-14	02:00	United Kingdom	Business Investment	1.7%	-0.3%	0.9%	
2026-08-14	02:00	United Kingdom	Business Investment	0.8%		-1.3%	
2026-08-14	02:00	United Kingdom	U.K. Construction Output	-2.3%	-2.4%	-2.0%	
2026-08-14	02:00	United Kingdom	Construction Output	-0.1%	-0.3%	-0.8%	
2026-08-14	02:00	United Kingdom	GDP	0.4%	0.4%	0.6%	Y
2026-08-14	02:00	United Kingdom	GDP	0.3%	0.0%	0.0%	Y
2026-08-14	02:00	United Kingdom	GDP	1.2%	1.1%	0.9%	Y
2026-08-14	02:00	United Kingdom	GDP	1.1%	0.8%	1.2%	Y
2026-08-14	02:00	United Kingdom	Index of Services	0.5%	0.5%	0.7%	
2026-08-14	02:00	United Kingdom	Industrial Production	-0.2%	0.2%	1.0%	
2026-08-14	02:00	United Kingdom	Industrial Production	-0.2%	0.1%	-0.7%	
2026-08-14	02:00	United Kingdom	Manufacturing Production	0.5%	1.2%	2.0%	
2026-08-14	02:00	United Kingdom	Manufacturing Production	-0.5%	-0.1%	-0.2%	
2026-08-14	02:00	United Kingdom	Monthly GDP 3M/3M Change	0.4%	0.4%	0.6%	Y
2026-08-14	02:00	United Kingdom	Trade Balance	-23.01B	-20.60B	-21.08B	
2026-08-14	02:00	United Kingdom	Trade Balance Non-EU	-10.45B		-9.58B	
2026-08-14	02:30	Switzerland	PPI	-0.1%	-0.2%	-0.3%	Y
2026-08-14	02:30	Switzerland	PPI	-2.1%		-2.1%	Y
2026-08-14	03:00	Spain	Core CPI	3.0%	3.0%	2.9%	Y
2026-08-14	03:00	Spain	Spanish CPI	0.3%	0.2%	0.6%	Y
2026-08-14	03:00	Spain	Spanish CPI	3.6%	3.5%	3.2%	Y
2026-08-14	03:00	Spain	Spanish HICP	3.9%	3.8%	3.6%	
2026-08-14	03:00	Spain	Spanish HICP	0.0%	-0.1%	0.6%	
2026-08-14	05:00	India	Exports (USD)	44.24B		40.41B	
2026-08-14	05:00	India	Imports (USD)	76.22B		70.84B	
2026-08-14	05:00	India	Trade Balance	-31.98B	-30.20B	-30.43B	
2026-08-14	05:00	Euro Zone	Industrial Production	0.0%	-0.1%	0.3%	
2026-08-14	05:00	Euro Zone	Industrial Production	0.1%	-0.8%	-0.1%	
2026-08-14	05:30	South Africa	Gold Production	6.2%		-4.4%	
2026-08-14	05:30	South Africa	Mining Production	-4.0%		-5.1%	
2026-08-14	06:00	United Kingdom	Thomson Reuters IPSOS PCSI	47.1		46.2	
2026-08-14	06:00	Italy	Italy Thomson Reuters IPSOS PCSI	44.33		45.85	
2026-08-14	06:00	Germany	Germany Thomson Reuters IPSOS PCSI	42.13		42.28	
2026-08-14	06:00	France	France Thomson Reuters IPSOS PCSI	41.08		41.57	
2026-08-14	06:00	Spain	Thomson Reuters IPSOS PCSI	48.47		50.64	
2026-08-14	06:00	South Africa	Thomson Reuters IPSOS PCSI	50.14		48.25	
2026-08-14	08:00	Brazil	Retail Sales	2.9%	2.4%	0.4%	Y
2026-08-14	08:00	Brazil	Retail Sales	0.5%	0.3%	0.3%	Y
2026-08-14	08:30	United States	Continuing Jobless Claims	1,777K	1,800K	1,799K	Y
2026-08-14	08:30	United States	Core PPI	0.2%	0.3%	0.4%	Y
2026-08-14	08:30	United States	Core PPI	4.2%	4.2%	4.7%	Y
2026-08-14	08:30	United States	Initial Jobless Claims	209K	202K	200K	Y
2026-08-14	08:30	United States	Jobless Claims 4-Week Avg.	199.00K		199.00K	Y
2026-08-14	08:30	United States	PPI	4.7%	4.9%	5.5%	Y
2026-08-14	08:30	United States	PPI	0.0%	0.2%	-0.1%	Y
2026-08-14	08:30	United States	PPI ex. Food/Energy/Transport	4.7%		5.0%	Y
2026-08-14	08:30	United States	PPI ex. Food/Energy/Transport	0.4%		0.1%	Y
2026-08-14	08:40	United States	FOMC Member Barkin Speaks				Y
2026-08-14	09:00	Russia	Central Bank reserves (USD)	740.0B		720.3B	
2026-08-14	10:30	United States	Natural Gas Storage	36B	31B	33B	
2026-08-14	11:30	United States	4-Week Bill Auction	3.625%		3.640%	
2026-08-14	11:30	United States	8-Week Bill Auction	3.665%		3.710%	
2026-08-14	13:00	United States	30-Year Bond Auction	5.216%		5.058%	
2026-08-14	16:30	United States	Fed's Balance Sheet	6,760B		6,749B	
2026-08-14	16:30	United States	Reserve Balances with Federal Reserve Banks	2.947T		3.002T	
2026-08-14	17:00	South Korea	Export Price Index	49.1%		48.7%	
2026-08-14	17:00	South Korea	Import Price Index	18.7%		20.9%	
2026-08-14	18:00	United States	Fed Goolsbee Speaks				
2026-08-14	18:30	New Zealand	Business NZ PMI	54.3		60.1	Y
2026-08-14	18:45	New Zealand	External Migration & Visitors	8.10%		6.70%	
2026-08-14	18:45	New Zealand	Permanent/Long-Term Migration	1,610		2,050	
2026-08-14	18:45	New Zealand	Visitor Arrivals	-0.1%		-2.4%	
2026-08-14	19:30	Australia	RBA Gov Bullock Speaks				
2026-08-14	19:50	Japan	Foreign Bonds Buying	1,629.4B		477.9B	
2026-08-14	19:50	Japan	Foreign Investments in Japanese Stocks	-368.5B		-392.5B	
2026-08-14	21:30	Australia	Home Loans	-1.9%		-3.5%	
2026-08-14	22:00	South Korea	Thomson Reuters IPSOS PCSI	44.52		45.48	
