date	time_gmt	country	event	actual	consensus	previous	high_impact
2026-08-04	01:00	India	HSBC India Manufacturing PMI		53.9	53.9	Y
2026-08-04	02:00	Germany	German Retail Sales		-0.4%	1.1%	Y
2026-08-04	02:00	Germany	German Retail Sales			1.8%	Y
2026-08-04	02:00	Russia	S&P Global Manufacturing PMI			50.3	Y
2026-08-04	02:30	Switzerland	CPI		-0.1%	0.0%	Y
2026-08-04	02:30	Switzerland	CPI			0.5%	Y
2026-08-04	03:15	Spain	HCOB Spain Manufacturing PMI		50.5	49.7	Y
2026-08-04	03:30	Switzerland	procure.ch Manufacturing PMI		54.5	54.3	Y
2026-08-04	03:45	Italy	HCOB Italy Manufacturing PMI		52.5	52.2	Y
2026-08-04	03:50	France	HCOB France Manufacturing PMI		50.0	50.0	Y
2026-08-04	03:55	Germany	HCOB Germany Manufacturing PMI		52.2	52.2	Y
2026-08-04	04:00	Euro Zone	HCOB Eurozone Manufacturing PMI		52.0	52.0	Y
2026-08-04	04:30	United Kingdom	S&P Global Manufacturing PMI		52.8	52.8	Y
2026-08-04	05:00	South Africa	Manufacturing PMI			47.3	Y
2026-08-04	07:00	Spain	Car Registration			14.80%	
2026-08-04	07:00	Spain	Car Registration			7.80%	
2026-08-04	07:25	Brazil	BCB Focus Market Readout				
2026-08-04	08:15	South Africa	Total Vehicle Sales			15.30%	
2026-08-04	08:15	South Africa	Total Vehicle Sales			54.48K	
2026-08-04	09:00	France	French 12-Month BTF Auction			2.753%	
2026-08-04	09:00	France	French 3-Month BTF Auction			2.424%	
2026-08-04	09:00	France	French 6-Month BTF Auction			2.587%	
2026-08-04	09:00	Brazil	S&P Global Manufacturing PMI			50.8	Y
2026-08-04	09:00	Singapore	S&P Global Manufacturing PMI			51.3	Y
2026-08-04	09:45	United States	S&P Global Manufacturing PMI		53.8	53.8	Y
2026-08-04	10:00	United States	Construction Spending		0.2%	0.1%	
2026-08-04	10:00	United States	ISM Manufacturing Employment			49.7	Y
2026-08-04	10:00	United States	ISM Manufacturing New Orders Index			56.0	Y
2026-08-04	10:00	United States	ISM Manufacturing PMI		54.0	53.3	Y
2026-08-04	10:00	United States	ISM Manufacturing Prices		70.0	73.0	Y
2026-08-04	11:30	United States	3-Month Bill Auction			3.815%	
2026-08-04	11:30	United States	6-Month Bill Auction			3.945%	
2026-08-04	11:30	United States	Atlanta Fed GDPNow				
2026-08-04	12:30	Italy	Italian Car Registration			10.6%	
2026-08-04	14:00	United States	Loan Officer Survey				
2026-08-04	19:00	South Korea	CPI			3.2%	Y
2026-08-04	19:00	South Korea	CPI			0.1%	Y
2026-08-04	19:50	Japan	Monetary Base		-13.0%	-13.7%	
2026-08-04	21:30	Australia	ANZ Job Advertisements			-0.2%	
2026-08-04	23:35	Japan	10-Year JGB Auction			2.730%	
2026-08-04	All Day	Canada	Canada - Civic Holiday				
2026-08-04	All Day	Canada	Canada - Civic Holiday				
2026-08-04	All Day	Canada	Canada - Civic Holiday				
2026-08-05	02:30	Australia	Commodity Prices			16.9%	
2026-08-05	02:45	France	French Government Budget Balance			-93.3B	
2026-08-05	03:00	Spain	Spanish Unemployment Change		-20.3K	-28.7K	
2026-08-05	04:00	Italy	Italian Retail Sales		0.1%	0.2%	Y
2026-08-05	04:00	Italy	Italian Retail Sales			2.2%	Y
2026-08-05	04:30	Hong Kong	Retail Sales			7.9%	Y
2026-08-05	04:40	Spain	Spanish 12-Month Letras Auction			2.500%	
2026-08-05	04:40	Spain	Spanish 6-Month Letras Auction			2.385%	
2026-08-05	05:00	Brazil	IPC-Fipe Inflation Index			0.18%	
2026-08-05	05:30	Germany	German 2-Year Schatz Auction			2.770%	
2026-08-05	08:00	Brazil	Industrial Production			0.2%	
2026-08-05	08:00	Brazil	Industrial Production			-0.2%	
2026-08-05	08:00	New Zealand	GlobalDairyTrade Price Index			1.5%	
2026-08-05	08:00	New Zealand	Milk Auctions			3,815.0	
2026-08-05	08:30	United States	Exports			317.70B	
2026-08-05	08:30	United States	Imports			395.30B	
2026-08-05	08:30	United States	Trade Balance		-73.00B	-77.60B	
2026-08-05	08:30	Canada	Exports			77.10B	
2026-08-05	08:30	Canada	Imports			72.86B	
2026-08-05	08:30	Canada	Trade Balance		3.00B	4.24B	
2026-08-05	08:55	United States	Redbook			8.3%	
2026-08-05	09:30	Canada	S&P Global Manufacturing PMI		50.2	53.0	Y
2026-08-05	10:00	United States	Durables Excluding Defense		0.3%	0.3%	
2026-08-05	10:00	United States	Durables Excluding Transport			0.6%	
2026-08-05	10:00	United States	Factory Orders		0.0%	-1.3%	
2026-08-05	10:00	United States	Factory orders ex transportation			1.9%	
2026-08-05	10:00	United States	IBD/TIPP Economic Optimism		47.5	45.5	
2026-08-05	10:00	United States	JOLTS Job Openings		7.420M	7.594M	
2026-08-05	11:30	United States	52-Week Bill Auction			3.860%	
2026-08-05	11:30	United States	Atlanta Fed GDPNow				
2026-08-05	12:00	France	French Car Registration			11.4%	
2026-08-05	14:00	United States	Total Vehicle Sales			16.50M	
2026-08-05	16:30	United States	API Weekly Crude Oil Stock			3.296M	
2026-08-05	17:00	South Korea	FX Reserves - USD			427.36B	
2026-08-05	18:45	New Zealand	Employment Change		0.1%	0.2%	
2026-08-05	18:45	New Zealand	Labor Cost Index		0.6%	0.5%	
2026-08-05	18:45	New Zealand	Labor Cost Index			2.0%	
2026-08-05	18:45	New Zealand	Participation Rate			70.40%	
2026-08-05	18:45	New Zealand	Unemployment Rate		5.4%	5.3%	Y
2026-08-05	19:00	Australia	AIG Construction Index			-38.1	
2026-08-05	19:00	Australia	AIG Manufacturing Index			-16.8	
2026-08-05	19:00	Australia	S&P Global Manufacturing & Services PMI		52.60	52.60	Y
2026-08-05	19:00	Australia	S&P Global Services PMI		53.0	53.0	Y
2026-08-05	19:30	Japan	Overall wage income of employees		3.4%	3.3%	
2026-08-05	19:30	Japan	Overtime Pay			2.80%	
2026-08-05	19:50	Japan	Monetary Policy Meeting Minutes				
2026-08-05	20:30	Japan	Manufacturing & Services PMI		53.10	53.10	Y
2026-08-05	20:30	Japan	S&P Global Services PMI		51.9	51.9	Y
2026-08-05	20:30	Hong Kong	S&P Global Manufacturing PMI			52.0	Y
2026-08-05	21:00	New Zealand	ANZ Commodity Price Index			-1.0%	
2026-08-05	21:45	China	RatingDog Services PMI		53.7	54.1	Y
2026-08-06	00:30	India	Cash Reserve Ratio			3.00%	
2026-08-06	00:30	India	Interest Rate Decision		5.25%	5.25%	Y
2026-08-06	00:30	India	Reverse REPO Rate			3.35%	
2026-08-06	01:00	India	HSBC India Services PMI		53.1	53.1	Y
2026-08-06	01:00	India	HSBC Manufacturing & Services PMI		54.30	54.30	Y
2026-08-06	01:00	Singapore	Retail Sales			-2.3%	Y
2026-08-06	01:00	Singapore	Retail Sales			3.0%	Y
2026-08-06	02:00	Russia	S&P Global Services PMI			48.2	Y
2026-08-06	02:45	France	French Industrial Production		0.3%	-0.1%	
2026-08-06	03:15	Spain	HCOB Spain Services PMI		54.4	54.2	Y
2026-08-06	03:15	South Africa	S&P Global Manufacturing PMI			50.5	Y
