date	time_gmt	country	event	actual	consensus	previous	high_impact
2026-09-09	01:00	Japan	Economy Watchers Current Index	46.4	46.3	45.7	
2026-09-09	02:00	Germany	German Exports	-0.8%	0.0%	0.9%	
2026-09-09	02:00	Germany	German Imports	-5.7%		4.5%	
2026-09-09	02:00	Germany	German Trade Balance	21.3B	16.0B	15.4B	
2026-09-09	02:45	France	French Current Account	-4.70B		-1.60B	
2026-09-09	02:45	France	French Exports	54.7B		54.5B	
2026-09-09	02:45	France	French Imports	61.3B		60.2B	
2026-09-09	02:45	France	French Trade Balance	-6.7B	-6.0B	-5.8B	
2026-09-09	04:40	Spain	Spanish 3-Month Letras Auction	2.456%		2.387%	
2026-09-09	05:00	South Africa	GDP Annualized	-0.2%		0.5%	Y
2026-09-09	05:00	South Africa	GDP	0.9%		1.9%	Y
2026-09-09	06:00	United States	NFIB Small Business Optimism	98.7	99.4	99.8	
2026-09-09	07:00	Brazil	Auto Production	6.8%		3.1%	
2026-09-09	07:00	Brazil	Auto Sales	-1.6%		2.6%	
2026-09-09	07:00	Brazil	IGP-DI Inflation Index	0.06%		-0.86%	
2026-09-09	07:25	Brazil	BCB Focus Market Readout				
2026-09-09	09:15	United Kingdom	BoE Gov Bailey Speaks				
2026-09-09	09:15	United Kingdom	MPC Member Ramsden Speaks				
2026-09-09	10:00	United States	CB Employment Trends Index	108.53		107.76	
2026-09-09	11:00	United States	NY Fed 1-Year Consumer Inflation Expectations	3.6%		3.6%	
2026-09-09	11:00	Euro Zone	ECB's Elderson Speaks				
2026-09-09	11:30	United States	3-Month Bill Auction	3.800%		3.770%	
2026-09-09	11:30	United States	6-Month Bill Auction	3.890%		3.885%	
2026-09-09	13:00	United States	3-Year Note Auction	4.474%		4.291%	
2026-09-09	15:00	United States	Consumer Credit	18.06B	11.90B	14.56B	
2026-09-09	18:45	New Zealand	Manufacturing Sales Volume			3.6%	
2026-09-09	19:00	South Korea	Unemployment Rate			2.8%	Y
2026-09-09	19:00	Japan	Reuters Tankan Index			18	
2026-09-09	19:50	Japan	M2 Money Stock		2.2%	2.2%	
2026-09-09	19:50	Japan	M3 Money Supply			2,330.6B	
2026-09-09	21:30	China	CPI		0.8%	0.5%	Y
2026-09-09	21:30	China	CPI		0.3%	-0.1%	Y
2026-09-09	21:30	China	PPI		3.6%	3.5%	Y
