date	time_gmt	country	event	actual	consensus	previous	high_impact
2026-07-13	18:30	New Zealand	Performance of Services Index	50.6		48.0	
2026-07-14	05:15	India	Exports (USD)	40.41B		45.20B	
2026-07-14	05:15	India	Trade Balance	-30.43B		-28.21B	
2026-07-14	05:25	United States	FOMC Member Bowman Speaks				Y
2026-07-14	05:50	Germany	German 12-Month Bubill Auction	2.566%		2.478%	
2026-07-14	05:50	Germany	German 6-Month Bubill Auction	2.436%		2.331%	
2026-07-14	06:00	United States	OPEC Meeting				
2026-07-14	06:00	Germany	German Buba Monthly Report				
2026-07-14	06:30	India	CPI	4.38%	4.30%	3.93%	Y
2026-07-14	07:25	Brazil	BCB Focus Market Readout				
2026-07-14	07:30	India	Imports (USD)	70.84B		73.41B	
2026-07-14	08:00	Germany	German Current Account Balance n.s.a	10.4B		16.6B	
2026-07-14	09:00	France	French 12-Month BTF Auction	2.701%		2.548%	
2026-07-14	09:00	France	French 3-Month BTF Auction	2.410%		2.374%	
2026-07-14	09:00	France	French 6-Month BTF Auction	2.540%		2.455%	
2026-07-14	09:00	Russia	Trade Balance	14.15B		11.01B	
2026-07-14	11:30	United States	3-Month Bill Auction	3.760%		3.735%	
2026-07-14	11:30	United States	6-Month Bill Auction	3.860%		3.830%	
2026-07-14	12:30	United States	Fed Waller Speaks				
2026-07-14	12:45	Euro Zone	ECB's Schnabel Speaks				
2026-07-14	14:00	United Kingdom	BoE MPC Member Pill Speaks				
2026-07-14	14:00	United States	Federal Budget Balance	-120.0B	-135.8B	-293.0B	
2026-07-14	17:00	Euro Zone	ECB President Lagarde Speaks				
2026-07-14	18:00	New Zealand	NZIER Business Confidence	8%		-4%	
2026-07-14	18:00	New Zealand	NZIER QSBO Capacity Utilization	90.8%		91.2%	
2026-07-14	18:45	New Zealand	External Migration & Visitors			8.00%	
2026-07-14	18:45	New Zealand	Permanent/Long-Term Migration			3,090	
2026-07-14	18:45	New Zealand	Visitor Arrivals			2.3%	
2026-07-14	19:01	United Kingdom	BRC Retail Sales Monitor		2.9%	3.4%	Y
2026-07-14	20:00	Singapore	GDP		5.5%	6.0%	Y
2026-07-14	20:00	Singapore	GDP		1.1%	3.9%	Y
2026-07-14	20:30	Australia	Westpac Consumer Sentiment			-2.9%	Y
2026-07-14	21:30	Australia	NAB Business Confidence			-14	
2026-07-14	21:30	Australia	NAB Business Survey			3	
2026-07-15	00:30	Japan	Capacity Utilization			-0.8%	
2026-07-15	00:30	Japan	Industrial Production		0.5%	0.5%	
2026-07-15	02:00	Germany	German WPI			5.9%	
2026-07-15	02:00	Germany	German WPI		0.2%	-0.6%	
2026-07-15	02:30	Switzerland	PPI			-0.4%	Y
2026-07-15	02:30	Switzerland	PPI			-1.8%	Y
2026-07-15	02:30	India	WPI Food			3.60%	
2026-07-15	02:30	India	WPI Fuel			30.33%	
2026-07-15	02:30	India	WPI Inflation		9.15%	9.68%	
2026-07-15	02:30	India	WPI Manufacturing Inflation			7.48%	
2026-07-15	03:28	China	Exports		18.2%	19.4%	
2026-07-15	03:28	China	Imports		24.0%	27.4%	
2026-07-15	03:29	China	Trade Balance (USD)		121.40B	105.43B	
2026-07-15	03:29	China	Exports			13.80M	
2026-07-15	03:29	China	Imports			21.50M	
2026-07-15	03:29	China	Trade Balance		820.00B	723.98B	
